Id,Text,Text_en,Text_ja,ChoiceText1,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_en,ChoiceText2_ja,Notification,Notification_en,Notification_ja
23,不过……那也就意味着，这里的一切都将与你无关，毕竟魔女屋是为魔女准备的工作和休息场所，我只能期待与阿米莉娅的再会了……,But... that would mean everything here has nothing to do with you. The Witch House is a place for witches to work and rest—I can only hope to see Amelia again...,でも……それならここにあるものは全てあなたには関係ない。魔女屋は魔女のための仕事と休息の場だから、アメリアとの再会を願うしかないわね……,,,,,,,,,
24,克莉斯娜露出了伤心的表情，还伸手拭去眼角的泪花。不过无论如何，这副作态都令人感到违和。,"Krisna put on a sad face and wiped a tear from the corner of her eye. Either way, the act felt off.",クリスナは悲しそうな顔をして、目頭の涙を拭った。いずれにせよ、その様子には違和感があった。,,,,,,,,,
25,嘴上说要尊重我的权力，但你刚才还想捅死我来着？,You say you respect my rights,but you were about to stab me earlier?,権利を尊重するって言いながら、さっき刺そうとしてたよね？,,,,,,,,
26,那是紧急情况采取的特殊措施啦……！而且你看，我也没有真捅你不是吗……？,That was a special measure for an emergency...! And look,I didn't actually stab you,did I...?,あれは緊急時の特別措置でしょ……！それにほら、本当に刺してないじゃない……？,,,,,,,
27,这辩解实在是苍白无力。阿米莉娅相信，如果自己睁眼晚一些，腹部真的会多一个大口子。但是也没办法为还没付诸行动的口嗨行为定罪事到如今，还有更重要的事情要决定。,The excuse was feeble. Amelia was sure that if she'd woken a moment later,there'd be a hole in her belly. But you can't convict someone for words not yet acted on. More important things needed deciding now.,言い訳はあまりに弱かった。アメリアは、もう少し遅く目を覚ましていたら本当に腹に穴が開いていたと信じた。だがまだ実行されていない口だけの行為で罪に問うわけにもいかない。今は他に決めることがあった。,,,,,,,,
28,没有引用法律条文，没有用工单位，用语十分随意，规定也模糊不清，看起来相当草率的一份合同。如果拿给律师看，一定能把他们的低血压治好。拟定合同的人似乎完全不在意这份合同的可执行性。,No legal citations,no employer name,casual wording,vague terms—it looked like a slapdash contract. Any lawyer would have their low blood pressure cured. Whoever wrote it didn't seem to care if it was enforceable at all.,法律の引用も雇用者名もなく、言葉は砕け、条件は曖昧で、かなり雑な契約書に見えた。弁護士に見せれば低血圧が治りそうだ。作った人はこの契約の実行可能性をまるで気にしていないようだった。,,,,,,
29,克莉斯娜用期待的眼神看着你。,Krisna looked at you with expectant eyes.,クリスナは期待の眼差しでこちらを見た。,我想详细了解一下合同的细节,I'd like to hear more about the contract.,契約の内容をもう少し知りたい,做出决定,Make my decision.,決断する,,,
281,请选择想了解的内容。,Please choose what you'd like to know.,知りたいことを選んで。,需要我做什么,What would you need me to do?,何をすればいい？,其他问题,Other questions,他の質問,,,
282,请选择想了解的内容。,Please choose what you'd like to know.,知りたいことを選んで。,我会遇到什么,What will I face?,何に遭遇する？,更多,More,もっと,,,
283,请选择想了解的内容。,Please choose what you'd like to know.,知りたいことを選んで。,为什么是我？,Why me?,なぜ私が？,这么做的意义是什么？,What's the point of all this?,こんなことする意味は？,,,
284,那么，你的决定是？,"So, what's your decision?",では、あなたの決断は？,愿我们合作愉快,Let's work well together.,よろしくお願いします,我拒绝,I refuse.,断る,,,
291,很简单~隶属在我司旗下的7号深渊坑，名为奥尔德林的世界腐化掉了，我需要阿米莉娅帮我去做一些除虫工作。,Simple~ The world called Aldrin,Pit No.7 under our company,has rotted. I need Amelia to help me with some pest control.,簡単よ～うちの会社の7号深渊坑、オルドリンって世界が腐っちゃって、アメリアに除虫の手伝いをしてほしいの。,,,,,,,
30,更具体的说，我们目前还不清楚坏死的是哪一块组织，所以需要你尽可能深入的调查那里，越深越好。,More specifically,we don't yet know which part has necrotized,so I need you to investigate as deep as you can—the deeper the better.,もっと具体的に言うと、どの組織が壊死してるかまだ分かってないの。だからできるだけ深く調査してほしい、深ければ深いほどいい。,,,,,,,
31,一些诡异的事件，一些不合常理的人，也许还有几个长相奇特的生物，以及一大堆希望阿米莉娅酱去死的恶意~,Some bizarre incidents,some unreasonable people,maybe a few oddly shaped creatures,and a whole lot of malice wishing Amelia-chan dead~,奇妙な事件、理不尽な人々、奇妙な姿の生物がいくつか、そしてアメリアちゃんの死を願う悪意がたっぷり～,,,,,,
32,啊，不过请别担心，使用暴力是被允许的。,Ah,but don't worry—violence is permitted.,あ、でも心配しないで。暴力は許可されてるから。,,,,,,,,
33,你的意思是……让我去杀人？,You're saying... you want me to kill people?,つまり……人を殺せって？,,,,,,,,,
34,这就要看阿米莉娅酱的判断了，暴力是可能的选择，但不是唯一的手段。但有些忠告是站在我的立场不得不说的，如果对她们太过仁慈，反而可能会吃亏哦？,That's for Amelia-chan to decide. Violence is one option,but not the only one. Still,I have to say—if you're too merciful with them,you might end up losing.,それはアメリアちゃんの判断次第。暴力は選択肢の一つだけど、唯一の手段じゃない。ただ立場上言っておくけど、彼女たちに甘すぎると逆にやられるかもよ？,,,,,,
35,"每个魔女都有自己的权能，而阿米莉娅的权能是最适合这种工作的，所谓""原初魔女""，指的便是原点，璞玉一样的存在，你可以被塑造成任意的样子。","Every witch has her own authority, and Amelia's is best suited for this work. The ""Primordial Witch"" is the origin—a blank slate that can be shaped into anything.",魔女にはそれぞれ権能がある。アメリアの権能はこの仕事に一番向いてる。「原初魔女」とは原点、何にでもなれる璞玉のような存在。,,,,,,,,,
36,变形……？,Shapeshifting...?,変身……？,,,,,,,,,
37,要比那厉害多了，只要对对方足够了解并得到认可，你就可以占据她的存在。无论是名字，身体，记忆还是历史，所~有~的一切，都会成为阿米莉娅的一部分。可以说是开挂一样的间谍技能呢。,Far more than that. If you know them well enough and gain their recognition,you can take over their existence. Name,body,memory,history—ev~ery~thing becomes part of Amelia. Call it a cheat-tier spy skill.,それ以上よ。相手を十分に理解して認められれば、その存在を乗っ取れる。名前も体も記憶も歴史も、全～てがアメリアの一部になる。チート級のスパイ技能ね。,,,,,
38,包含记忆的话，是谁占据了谁就不好说了吧。,If memories are included,it's hard to say who's taking over whom.,記憶まで含めたら、誰が誰を乗っ取ってるか分からなくなるね。,,,,,,,,
39,？意义？,? Meaning?,？意味？,,,,,,,,,
40,克莉斯娜歪了歪头，似乎阿米莉娅的疑问让她难以理解。,Krisna tilted her head,as if Amelia's question was hard to grasp.,クリスナは首をかしげた。アメリアの疑問が理解しがたいらしい。,,,,,,,,
41,刀被制作出来就是要切开东西的，有机生物需要进食，无机机械需要充电，作为魔女，毁灭本身即是意义。,A blade is made to cut. Organisms need to eat,machines need to charge. For a witch,destruction itself is the meaning.,刃は切るために作られる。生物は食い、機械は充電する。魔女にとって、破壊そのものが意味なの。,,,,,,,
42,…………,,,,,,,,,,,
43,听你说了这么久我总算明白了一件事。,After listening this long,I finally get one thing.,ここまで聞いてやっと分かったことが一つある。,,,,,,,,
44,就是我们好像是一家以刺探别人情报和搞坏别人家庭关系为核心业务的邪恶公司。,That we seem to be an evil company whose core business is spying on people and wrecking families.,私たち、他人の情報を盗んで家庭を崩壊させるのを本業にしてる悪の会社っぽいね。,,,,,,,,,
45,请容我拒绝。,I'll have to refuse.,お断りします。,,,,,,,,,
46,啊哈哈……虽然你说的某种程度上也是事实，但是真希望阿米莉娅酱可以更委婉一些呢……,Ahaha... That's partly true,but I really wish Amelia-chan could put it more gently...,あはは……ある意味事実だけど、アメリアちゃんにはもっと婉曲に言ってほしい……,,,,,,,,
47,那么，我会在这里一直等待，直到阿米莉娅酱回心转意。,Then I'll wait here until Amelia-chan changes her mind.,じゃあ、アメリアちゃんが心を入れ替えるまでここで待ってるわ。,,,,,,,,,
48,再见啦~,See you~,じゃあね～,,,,,,,,,
49,好耶！最喜欢你了！！阿米莉娅酱~,Yay! I love you!! Amelia-chan~,やった！大好き！！アメリアちゃん～,,,,,,,,,
50,那么事不宜迟，为了让阿米莉娅酱尽快的熟悉工作，我们先开始入职培训吧~,Then without delay,let's start your onboarding so Amelia-chan can get up to speed~,ではさっそく、アメリアちゃんが仕事に慣れるように研修から始めましょう～,,,,,,,,
51,"克莉斯娜打了个响指，魔女屋的一面墙壁""咯吱""一声，露出了一个看起来非常老旧的，只有一扇门的金属电梯，上面还贴着一张手写的""新手村专线""标签。","Krisna snapped her fingers. With a creak, one wall of the Witch House opened to reveal a rusty metal elevator with a single door, and a handwritten ""Starter Village Line"" label.",クリスナが指を鳴らすと、魔女屋の壁がギシリと音を立て、古びた金属のエレベーターが現れた。一つの扉に、手書きの「初心者村直行」の札が貼ってある。,,,,,,,,,
52,"看，专为阿米莉娅酱准备的""新手村电梯""哦~里面只有一个教程关卡，帮你找回长眠中丢掉的手感。","See? A ""Starter Village elevator"" just for Amelia-chan~ There's only one tutorial stage inside, to help you get back the feel you lost in your long sleep.",見て、アメリアちゃん用の「初心者村エレベーター」よ～中にはチュートリアルが一つだけ。長い眠りで鈍った感覚を取り戻すのを手伝ってくれる。,,,,,,,,,
53,教程关？我怎么感觉更像是黑心企业强制员工参加的周末团建活动……,Tutorial? Feels more like a black company forcing weekend team-building...,チュートリアル？黒い企業の強制週末研修っぽい……,,,,,,,,,
54,"阿米莉娅的表情写满了""拒绝上班""四个大字。","Amelia's face spelled ""I refuse to work.""",アメリアの顔には「出勤拒否」の四文字が浮かんでいた。,,,,,,,,,
55,"哎呀，这说的哪里话！培训是福利！下面有很多可爱的""普拉提""，可以带回来当甜点哦~更何况，毕竟是【第一次】嘛，我会陪着阿米莉娅走一趟的~","Oh, what are you saying! Training is a benefit! There are lots of cute ""Platys"" down there to bring back as dessert~ Besides, it's your [first] time—I'll go with you~",まあ何言ってるの！研修は福利よ！下には可愛い「プラティ」がたくさん、おやつに連れて帰っていいの～何せ【初めて】だもの、私がアメリアについてってあげる～,,,,,,,,,
56,除了进入电梯，似乎也别无选择了。,There seemed to be no choice but to enter the elevator.,エレベーターに乗るしかないようだった。,,,,,,,,,
