Id,第 1 列,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
11,TRUE,技能牌,"通用,生存",活血术,活血術,Blood Circulation	,活血術,对自己造成1点真实伤害，获得1点魔能。,對自己造成1點真實傷害，獲得1點魔能。,Deal 1 true damage to yourself and gain 1 mana.,自分に1の実ダメージを与え、1の魔力を得る。
12,TRUE,攻击牌,"通用,输出",乱舞,亂舞,Wild Dance,乱舞,对随机敌人造成三次{0}点伤害。,對隨機敵人造成三次{0}點傷害。,Deal {0} damage three times to a random enemy.,ランダムな敵に{0}ダメージを3回与える。
13,TRUE,技能牌,"通用,生存",防御姿态,防禦姿態,Defensive Stance,防御の構え,"获得{0}层无力,{1}层自愈。","獲得{0}層{buff_weak},{1}層{buff_evergreen}。",Gain {0} layers of {buff_weak} and {1} layer of {buff_evergreen}.,{buff_weak}を{0}スタック、{buff_evergreen}を{1}スタック獲得する。
14,TRUE,技能牌,"通用,生存",血契化盾,血契化盾,Blood Pact: Shield,血の契約・盾化,"将生命变为二十五点,获得{0}点护盾,获得{1}层强韧。","將生命變為二十五點,獲得{0}點護盾,獲得{1}層強韌。","Change your health to 25, gain {0} shield, and gain {1} layer of {buff_resilient}.",HPを25にし、{0}シールドと強靭を{1}スタック獲得する。
15,TRUE,技能牌,"通用,充能,过牌",血契冥想,血契冥想,Blood Pact: Meditation,血の契約・瞑想,"将生命降低至10点,抽{0}张牌,获得{1}点魔能。","將生命降到10點,抽{0}張牌,獲得{1}點魔能。","Reduces health to 10, draws {0} cards, and gains {1} power.",HPを10にし、カードを{0}枚引き、{1}マナを獲得する。
16,TRUE,消耗攻击牌,通用,双刃剑盾,雙面刃盾,Double-Edged Shield,諸刃の剣盾,"造成{0}点伤害二次,获得{1}点护盾。","造成{0}點傷害二次,獲得{1}點護盾。",Deals {0} damage twice and gains {1} shield.,{0}ダメージを2回与え、{1}シールドを獲得する。
*17,TRUE,攻击牌,通用,星芒,星芒,Starlight,星芒,"造成{0}点伤害四次,全体魔女获得{1}点护盾。","造成{0}點傷害三次,全體魔女獲得{1}點護盾。",Deals {0} damage three times and All witches gains {1} shield.,{0}ダメージを3回与え、全ての魔女が{1}シールドを獲得する。
*18,TRUE,技能牌,"通用,过牌",源蜕,源蛻,Source Molt,源化,获得{0}层源蜕。,獲得{0}層{buff_sourcecast}。,Gain {0} layers of {buff_sourcecast}.,{buff_sourcecast}を{0}スタック獲得する。
19,TRUE,技能牌,"通用,过牌",不朽,不朽,Immortality,不朽,获得{0}层不朽。,獲得{0}層{buff_immortal}。,Gain {0} layers of {buff_immortal}.,{buff_immortal}を{0}スタック獲得する。
20,TRUE,技能牌,"通用,过牌",灵感交换,靈感交換,Inspiration Exchange,霊感交換,"生命值-1,焚毁一张牌,抽{0}张牌","生命值-1,燃燼一張牌,抽{0}張牌","Lose 1 health, burn a card, and draw {0} card(s).",HP-1、カードを1枚燃焼し、カードを{0}枚引く。
