Id,Note,Name,Name_en,Name_ja,Description,Description_en,Description_ja,AttributeText,AttributeText_en,AttributeText_ja
11,精英,蛛人巢穴,Ancient God's Altar,古代神の祭壇,<color=red>精英</color><br>被鲜血染红的古老石台，刻满了无法理解的神秘符文，空气中弥漫着死亡的气息，你会成为下一个献给古神的祭品吗？,"<color=red>Elite</color><br>An ancient stone platform stained red with blood, carved with incomprehensible mystical runes. The air reeks of death—will you become the next sacrifice to the ancient god?",<color=red>エリート</color><br>血で赤く染まった古い石の台座には、理解不能な神秘的なルーンが刻まれている。空気には死の匂いが満ちており、あなたは古き神への次の生贄となるのだろうか？,,,
12,首领,巨蜥洞穴,Ancient Dragon's Lair,古竜の巣,<color=#800001>Boss</color><br>远古巨龙沉睡的神圣洞窟，它们积累了千年的智慧与魔力，那份古老的知识比锋利的爪牙更加可怕。,<color=#800001>Boss</color><br>The sacred cavern where ancient dragons slumber. They have accumulated millennia of wisdom and magic—that ancient knowledge is more terrifying than sharp claws and fangs.,<color=#800001>ボス</color><br>古代のドラゴンが眠る神聖な洞窟。彼らは千年の知恵と魔力を蓄えており、その古い知識は鋭い爪や牙よりも恐ろしい。,,,
13,首领,黏黏军团,Mighty King,プラティの王,<color=#800002>Boss</color><br>蛮族的无上王者，他的战腰带上镶嵌着无数败者的头骨作为装饰，据说他儿子的哭声都能震裂坚硬的岩石。,"<color=#800002>Boss</color><br>The supreme ruler of barbarians, his war belt adorned with countless skulls of the defeated. It's said even his son's cries can shatter solid rock.",<color=#800002>ボス</color><br>蛮族の至高の王。彼の戦帯には敗者の頭蓋骨が無数に飾られている。彼の息子の泣き声でさえ、硬い岩を砕くと言われている。,,,
15,普通,圣械协从,Iron Box,鉄の箱,<color=yellow>普通</color><br>看似普通的锈迹斑斑的铁制宝箱，然而它的锁扣异常坚固，里面究竟藏着什么样的秘密呢？也许值得花费一番功夫。,"<color=yellow>Common</color><br>A seemingly ordinary rust-stained iron chest, yet its lock is unusually sturdy. What secrets might it contain? Perhaps it's worth the effort to find out.",<color=yellow>ノーマル</color><br>一見すると錆びついた普通の鉄の箱だが、その錠は非常に頑丈だ。中には一体どんな秘密が隠されているのだろうか？少し手間をかける価値はあるかもしれない。,,,
16,精英,惊喜礼物盒,Wasteland,荒野,<color=red>精英</color><br>一片死寂的无人之地，表面上空无一物，但越是空旷的地方往往隐藏着越可怕的危险，寂静本身就是最大的威胁。,"<color=red>Elite</color><br>A desolate no-man's land that appears empty on the surface, but the more barren a place seems, the more terrible dangers it often conceals. Silence itself is the greatest threat.",<color=red>エリート</color><br>静寂に包まれた無人の地。表面的には何もないが、広々とした場所ほど恐ろしい危険が隠されていることが多い。静寂そのものが最大の脅威なのだ。,,,
17,普通,腐化主教,Corrupted Bishop,腐敗した司教,<color=yellow>普通</color><br>曾经传播光明教义的圣洁牧师，如今却被黑暗腐蚀了心灵，他仍在布道，只是传播的已不再是救赎的福音。,"<color=yellow>Common</color><br>Once a holy priest who spread teachings of light, now his soul has been corrupted by darkness. He still preaches, but no longer spreads the gospel of salvation.",<color=yellow>ノーマル</color><br>かつては光の教えを広めた聖なる司祭だったが、今や闇に心を蝕まれている。彼は今も説教を続けているが、広めているのはもはや救いの福音ではない。,,,
18,普通,莉莉,Dark Cave,暗闇の洞窟,<color=yellow>普通</color><br>深不见底的幽暗洞窟，即使点燃火把也难以照亮前路，仿佛黑暗本身就在吞噬着所有的光明，让人心生畏惧。,"<color=yellow>Common</color><br>A bottomless dark cavern where even torches struggle to illuminate the path ahead, as if darkness itself devours all light, instilling fear in the heart.",<color=yellow>ノーマル</color><br>底知れぬ暗い洞窟。松明を灯しても前途を照らすのは難しく、まるで闇そのものがすべての光を飲み込んでいるかのようだ。心に恐怖を植え付ける。,,,
19,精英,木偶剧,Hunting Duo,狩猟二人組,<color=red>精英</color><br>配合默契的致命猎手搭档，他们心灵相通、配合无间，面对如此完美的组合，单独作战显得极其危险。,<color=red>Elite</color><br>A perfectly coordinated pair of deadly hunters. They share a mental connection and seamless cooperation—facing such a perfect combination alone is extremely dangerous.,<color=red>エリート</color><br>息の合った致命的な狩人の二人組。彼らは心が通じ合い、連携は完璧だ。このような完璧な組み合わせを前に、単独で戦うのは非常に危険だ。,,,
20,普通,方片舞者,Dancer,踊り子,<color=yellow>普通</color><br>拥有天使般优雅身姿的神秘舞者，她的每一个动作都如诗如画，然而在这美丽的舞蹈中却隐藏着致命的杀机。,"<color=yellow>Common</color><br>A mysterious dancer with angelic grace. Her every movement is poetry in motion, yet within this beautiful dance lurks deadly intent.",<color=yellow>ノーマル</color><br>天使のように優雅な姿を持つ神秘的な踊り子。彼女の一つ一つの動きは詩のように美しいが、その美しい舞の中には致命的な殺意が隠されている。,,,
21,普通,混血狼裔,Mimic,擬態者,<color=yellow>普通</color><br>掌握完美变形术的神秘存在，他可能是你遇到的任何人，甚至可能是你最信任的伙伴，真相与虚假已无法分辨。,"<color=yellow>Common</color><br>A mysterious being who has mastered perfect shapeshifting. It could be anyone you meet, even your most trusted companion—truth and falsehood have become indistinguishable.",<color=yellow>ノーマル</color><br>完璧な変身術を操る神秘的な存在。それはあなたが出会う誰かかもしれないし、最も信頼する仲間かもしれない。真実と虚偽はもはや見分けがつかない。,,,
22,首领,罪业集群,"Different Bodies, Same Heart",異体同心,<color=#800001>Boss</color><br>两个身体却共享着同一个意志的双生恶魔，它们的思考完全同步，行动毫无破绽，这种完美的协调令人绝望。,"<color=#800001>Boss</color><br>Twin demons with two bodies sharing one will. Their thoughts are perfectly synchronized, their actions flawless—such perfect coordination is despair-inducing.",<color=#800001>ボス</color><br>二つの体を持ちながら一つの意志を共有する双子の悪魔。彼らの思考は完全に同期し、行動に隙はない。この完璧な協調は絶望を誘う。,,,
23,精英,梅花侍从,Saint,聖人,<color=red>精英</color><br>被圣光眷顾的神圣战士，他坚信自己的使命是净化这个污秽的世界，即使手段残酷，他也认为是正义的体现。,"<color=red>Elite</color><br>A holy warrior blessed by sacred light. He firmly believes his mission is to purify this corrupt world—even if his methods are cruel, he sees them as justice embodied.",<color=red>エリート</color><br>聖なる光に祝福された戦士。彼はこの穢れた世界を浄化することが自らの使命だと固く信じている。その手段が残酷であっても、彼はそれを正義の体現だと考えている。,,,
24,首领,失心魔女,Mirror Self,鏡中の人,<color=#800001>Boss</color><br>在古老的魔镜中映现出的另一个自己，它拥有与你相同的能力和记忆，却怀着完全相反的意志，这将是最残酷的自我对决。,"<color=#800001>Boss</color><br>Another self reflected in an ancient magic mirror. It possesses the same abilities and memories as you, yet harbors completely opposite intentions—this will be the cruelest battle against oneself.",<color=#800001>ボス</color><br>古い魔法の鏡に映し出されたもう一人の自分。それはあなたと同じ能力と記憶を持つが、全く逆の意志を抱いている。これは最も残酷な自己との対決となるだろう。,,,
25,建筑,天界赐福,Tree of Fate,運命の樹,<color=green>安全</color><br>能够预言未来命运的神圣古树，它的枝叶记录着无数冒险者的故事，在这里你能窥见自己命运的一角。,<color=green>Safe</color><br>A sacred ancient tree that can prophesy future fate. Its branches and leaves record the stories of countless adventurers—here you can glimpse a corner of your own destiny.,<color=green>安全</color><br>未来の運命を予言できる神聖な古木。その枝葉には無数の冒険者の物語が記録されている。ここでは、あなた自身の運命の一端を垣間見ることができる。,"命运,在此显现",Fate Manifests Here,運命、ここに現る
26,精英,腐化圣骑,Filth,汚物,<color=red>精英</color><br>从腐烂泥土与绝望中诞生的憎恶存在，它质疑着自己存在的价值，同时也在寻找着生命意义的答案。,<color=#800000>Boss</color><br>An abhorrent existence born from rotting soil and despair. It questions the value of its own existence while searching for answers to life's meaning.,<color=#800000>ボス</color><br>腐った土と絶望から生まれた憎悪の存在。それは自らの存在価値を疑い、同時に生命の意味の答えを探している。,,,
27,首领,守夜人,Ascended Form,昇華体,<color=#800000>Boss</color><br>进化到完全体的异形生物，它邀请你加入它们的行列，声称那是生命的最高形态，但代价是失去人性。,"<color=#800000>Boss</color><br>An alien creature evolved to its perfect form. It invites you to join their ranks, claiming it's the highest form of life—but the price is losing your humanity.",<color=#800000>ボス</color><br>完全体に進化を遂げた異形の生物。それはあなたに仲間入りを誘い、それが生命の最高の形態だと主張する。しかし、その代償は人間性を失うことだ。,,,
28,建筑,一息安隅,Sanctuary of Glimmer,微光の場所,<color=green>安全</color><br>在无尽的黑暗长夜中闪烁着温暖微光的圣地，这里是疲惫旅人的避风港，提供着珍贵的休憩时光。,"<color=green>Safe</color><br>A sanctuary flickering with warm light in the endless dark night. This is a haven for weary travelers, offering precious moments of rest.",<color=green>安全</color><br>果てしない闇夜に暖かい微光を放つ聖地。ここは疲れた旅人の避難港であり、貴重な休息の時間を提供してくれる。,休息点,Rest Point,休憩所
*0,首领,永夜化身,Hour of Ending,終焉の刻,<color=red>噩梦 它在等你。</color><br>世界末日的最终战场，所有命运的线索都汇聚于此，等待着最后审判时刻的到来，你准备好面对终极的考验了吗？,"<color=red>Nightmare It awaits you.</color><br>The final battlefield of world's end, where all threads of fate converge, awaiting the moment of final judgment. Are you ready to face the ultimate trial?",<color=red>悪夢 お前を待っている。</color><br>世界の終わりの最終戦場。すべての運命の糸がここに集い、最後の審判の時を待っている。究極の試練に立ち向かう準備はできているか？,,,
29,精英,深渊骑士,Trial of Strength,力の試練,<color=red>精英</color><br>检验纯粹物理力量的古老石碑，只有拥有足够强大力量的勇士才能通过这项严酷的试炼，获得力量之神的认可。,<color=red>Elite</color><br>An ancient stone monument that tests pure physical strength. Only warriors with sufficient power can pass this harsh trial and earn the recognition of the God of Strength.,<color=red>エリート</color><br>純粋な物理的な力を試す古代の石碑。十分な力を持つ勇者だけがこの厳しい試練を乗り越え、力の神の承認を得ることができる。,,,
30,精英,教廷审判官,Trial of Resilience,堅忍の試練,<color=red>精英</color><br>考验意志坚韧程度的试炼场，这里将测试你承受痛苦与挫折的极限，只有心志如铁的人才能坚持到最后。,<color=red>Elite</color><br>A trial ground that tests the resilience of will. Here your limits of enduring pain and setbacks will be tested—only those with iron resolve can persevere to the end.,<color=red>エリート</color><br>意志の強さを試す試練場。ここでは、痛みや挫折に耐える限界が試される。鉄のような心を持つ者だけが最後まで耐え抜くことができる。,,,
31,精英,乐园之主,Trial of Wisdom,知恵の試練,<color=red>精英</color><br>挑战智慧深度的神秘谜题殿堂，古老的谜题与机关考验着挑战者的洞察力与思辨能力，愚者止步于此。,<color=red>Elite</color><br>A mysterious puzzle hall that challenges the depths of wisdom. Ancient riddles and mechanisms test challengers' insight and reasoning abilities—fools stop here.,<color=red>エリート</color><br>知恵の深さに挑む神秘的な謎の殿堂。古代の謎と仕掛けが挑戦者の洞察力と思考力を試す。愚者はここで立ち止まる。,,,
32,首领,熔火圣骸,Fire Phoenix,火の鳳凰,<color=#800001>Boss</color><br>传说中浴火重生的不死神鸟，它掌控着毁灭与新生的力量，漫天的火雨是它愤怒时的表现，美丽而危险。,"<color=#800001>Boss</color><br>The legendary immortal divine bird that rises from flames. It controls the power of destruction and rebirth—the rain of fire across the sky is its expression of anger, beautiful yet dangerous.",<color=#800001>ボス</color><br>伝説の、火の中から蘇る不死の神鳥。それは破壊と再生の力を操る。空を覆う火の雨は、その怒りの表れであり、美しくも危険だ。,,,
33,精英,自动机关人偶,Sky Thief,空賊,<color=red>精英</color><br>来去如风的空中盗贼，他在天空中自由翱翔，如影随形般出现在你身边，然后带着战利品消失在云端。,"<color=red>Elite</color><br>An aerial thief who comes and goes like the wind. He soars freely through the sky, appearing beside you like a shadow, then vanishes into the clouds with his spoils.",<color=red>エリート</color><br>風のように現れ去る空の盗賊。彼は空を自由に飛び回り、影のようあなたのそばに現れ、戦利品を持って雲の向こうへ消えていく。,,,
34,精英,K,Sinner,罪人,<color=red>精英</color><br>背负着沉重罪孽的忏悔者，他渴望通过战斗来洗刷自己的罪恶，每一次挥剑都是对过去的救赎。,<color=red>Elite</color><br>A penitent bearing heavy sins. He yearns to wash away his crimes through battle—every sword swing is redemption for his past.,<color=red>エリート</color><br>重い罪を背負う悔悟者。彼は戦いを通じて自らの罪を洗い流すことを渇望している。剣を振るうたびに、過去への贖罪となる。,,,
35,精英,鬼牌:小王,Twins,双子,<color=red>精英</color><br>心灵相通的孪生战士，他们发誓要生死与共，这份深厚的羁绊让他们的配合达到了超越常人理解的境界。,<color=red>Elite</color><br>Twin warriors with connected souls who have sworn to live and die together. This profound bond allows their cooperation to reach levels beyond ordinary understanding.,<color=red>エリート</color><br>心が通じ合う双子の戦士。彼らは生死を共にすることを誓っている。この深い絆が、彼らの連携を常人の理解を超える領域へと高めている。,,,
36,普通,灾厄祭司,Musician,楽師,<color=yellow>普通</color><br>弹奏着优美乐章的吟游诗人，然而他的音乐中暗藏着致命的魔力，美妙的旋律可能是通向死亡的催眠曲。,"<color=yellow>Common</color><br>A bard playing beautiful melodies, yet his music conceals deadly magic. The wonderful melody might be a lullaby leading to death.",<color=yellow>ノーマル</color><br>美しい旋律を奏でる吟遊詩人。しかし、彼の音楽には致命的な魔力が秘められている。その美しいメロディーは、死へと誘う催眠曲かもしれない。,,,
37,普通,黑桃骑士,Assassination,暗殺,<color=yellow>普通</color><br>由于名声在外而招来的暗杀危机，阴影中潜伏着致命的杀手，一击必杀的攻击随时可能降临。,"<color=yellow>Common</color><br>An assassination crisis brought by your growing reputation. Deadly killers lurk in the shadows, and a lethal strike could come at any moment.",<color=yellow>ノーマル</color><br>名声が高まったために招かれた暗殺の危機。影には致命的な暗殺者が潜んでおり、一撃必殺の攻撃がいつ降りかかってくるかわからない。,,,
38,普通,魔女教教徒,Hundred Wisdoms,百知,<color=yellow>普通</color><br>博学多才的古代智者，他的知识如海洋般深邃，似乎总能预料到对手的行动，并提前准备好完美的应对方案。,<color=yellow>Common</color><br>A learned ancient sage whose knowledge is as deep as the ocean. He seems to always anticipate opponents' actions and prepare perfect countermeasures in advance.,<color=yellow>ノーマル</color><br>博学多才な古代の賢者。その知識は海のように深く、常に対手の行動を予測し、完璧な対策を事前に準備しているようだ。,,,
39,普通,天眷者,Heaven's Favor,天眷,<color=yellow>普通</color><br>受到命运女神特别眷顾的幸运儿，好运气如影随形，即使在最危险的情况下也能奇迹般地化险为夷。,"<color=yellow>Common</color><br>A fortunate soul specially favored by the goddess of fate. Good luck follows like a shadow, allowing miraculous escapes even in the most dangerous situations.",<color=yellow>ノーマル</color><br>運命の女神に特に愛された幸運の持ち主。幸運が影のように付きまとい、最も危険な状況でも奇跡的に危機を脱することができる。,,,
40,普通,吞金兽,Fortune Giver,送財,<color=yellow>普通</color><br>慷慨馈赠财富的神秘商人，他的出现总是伴随着意外之财，但这些金币的背后是否隐藏着不为人知的代价呢？,"<color=yellow>Common</color><br>A mysterious merchant who generously bestows wealth. His appearance always brings unexpected riches, but do these gold coins hide unknown costs?",<color=yellow>ノーマル</color><br>気前よく富を授ける神秘的な商人。彼の出現は常に予期せぬ富をもたらすが、その金貨の裏には知られざる代償が隠されているのだろうか？,,,
41,普通,活性晶簇,Strange Treasure,異宝,<color=yellow>普通</color><br>散发着奇异光芒的珍稀宝物，它的价值无法估量，但正如古语所说：匹夫无罪，怀璧其罪，拥有它可能带来灾祸。,"<color=yellow>Common</color><br>A rare treasure emanating strange light, its value immeasurable. But as the ancient saying goes: ""An innocent man becomes guilty when he possesses a treasure""—owning it might bring disaster.",<color=yellow>ノーマル</color><br>奇妙な光を放つ珍しい宝物。その価値は計り知れないが、古の言葉にあるように、「罪なき者も、宝を持てば罪人となる」。それを持つことは災いを招くかもしれない。,,,
42,精英,藏宝处,Great Fortune,鴻運,<color=red>精英</color><br>幸运女神的加倍眷顾，让你在这次冒险中获得双倍的收获与机遇，这是多么难得的幸福时光。,"<color=red>Elite</color><br>Double favor from the goddess of luck, granting you double rewards and opportunities in this adventure. What precious happy times these are.",<color=red>エリート</color><br>幸運の女神からの二重の寵愛。この冒険で二倍の収穫と機会を得ることができる。なんと得難い幸福な時間だろう。,,,
43,精英,清理,Cleansing,浄化,<color=red>精英</color><br>执行净化使命的冷酷审判者，他认为自己是深渊意志的代行者，要将这个世界的污秽全部清除干净。,"<color=red>Elite</color><br>A cold judge executing a purification mission. He believes himself to be an agent of the abyss's will, seeking to cleanse all corruption from this world.",<color=red>エリート</color><br>浄化の使命を遂行する冷酷な審判者。彼は自らを深淵の意志の代行者だと考え、この世界の穢れをすべて取り除こうとしている。,,,
44,精英,玩偶剧,Puppet master,人形遣い,<color=red>精英</color><br>执行净化使命的冷酷审判者，他认为自己是深渊意志的代行者，要将这个世界的污秽全部清除干净。,"<color=red>Elite</color><br>A cold judge executing a purification mission. He believes himself to be an agent of the abyss's will, seeking to cleanse all corruption from this world.",<color=red>エリート</color><br>浄化の使命を遂行する冷酷な審判者。彼は自らを深淵の意志の代行者だと考え、この世界の穢れをすべて取り除こうとしている。,,,
45,普通,最后一餐,Feeling full,満腹,<color=yellow>普通</color><br>贪婪吞噬一切的可怕存在，它的食欲永远无法满足，任何靠近的事物都可能成为它口中的美味。,<color=yellow>Common</color><br>A terrifying existence that greedily devours everything. Its appetite can never be satisfied—anything that approaches might become a delicacy in its maw.,<color=yellow>ノーマル</color><br>貪欲にすべてを飲み込む恐ろしい存在。その食欲は決して満たされることはなく、近づくものは何でもその口の中のご馳走になるかもしれない。,,,
46,普通,恶意聚合体,Malice,悪意,<color=yellow>普通</color><br>从腐烂泥土与绝望中诞生的憎恶存在，它质疑着自己存在的价值，同时也在寻找着生命意义的答案。,<color=yellow>Common</color><br>An abhorrent existence born from rotting soil and despair. It questions the value of its own existence while searching for answers to life's meaning.,<color=yellow>ノーマル</color><br>腐った土と絶望から生まれた憎悪の存在。それは自らの存在価値を疑い、同時に生命の意味の答えを探している。,,,
47,普通,测试关,Test Off,テスト閉,<color=yellow>普通</color><br>教学关1。,<color=yellow>普通</color><br>教学关1。,<color=yellow>普通</color><br>教学关1。,,,
48,建筑,血脉铭刻,EnchShop,魔法の店,<color=green>安全</color><br>年迈的店主总是笑眯眯地为冒险者准备着奇迹般的道具。,<color=green>安全</color><br>年迈的店主总是笑眯眯地为冒险者准备着奇迹般的道具。,<color=green>安全</color><br>年迈的店主总是笑眯眯地为冒险者准备着奇迹般的道具。,,,
*49,普通,测试关,Test Off,テスト閉,<color=yellow>普通</color><br>教学关1。,<color=yellow>普通</color><br>教学关1。,<color=yellow>普通</color><br>教学关1。,,,
*50,普通,测试关,Test Off,テスト閉,<color=yellow>普通</color><br>教学关2。,<color=yellow>普通</color><br>教学关1。,<color=yellow>普通</color><br>教学关1。,,,
*999,首领,魔王,Demon Lord,魔王,<color=red>噩梦 它在等你。</color><br>你真的有勇气对她出剑吗?,<color=red>Nightmare. It awaits you.</color><br>Do you have the courage to draw your sword against her?,<color=red>悪夢。お前を待っている。</color><br>彼女に刃を向ける勇気はあるか？,,,
*1000,首领,永夜化身,Hour of Ending,終焉の刻,<color=red>噩梦 它在等你。</color><br>世界末日的最终战场，所有命运的线索都汇聚于此，等待着最后审判时刻的到来，你准备好面对终极的考验了吗？,"<color=red>Nightmare It awaits you.</color><br>The final battlefield of world's end, where all threads of fate converge, awaiting the moment of final judgment. Are you ready to face the ultimate trial?",<color=red>悪夢 お前を待っている。</color><br>世界の終わりの最終戦場。すべての運命の糸がここに集い、最後の審判の時を待っている。究極の試練に立ち向かう準備はできているか？,,,
