Id,Note,Series,Tag,Name,Name_zh-Hant,Name_en,Name_ja,Tips,Tips_zh-Hant,Tips_en,Tips_ja,Description,Description_zh-Hant,Description_en,Description_ja
10,,物品,,碎裂源晶,碎裂源晶,Shattered Source Crystal,砕けた源晶,破碎的魔女墓碑，只能从中汲取不稳定的元素，亦如行于深渊中的旅者，随时会如昼夜交替间的昙花般凋谢。,破碎的魔女墓碑，只能從中汲取不穩定的元素，亦如行於深淵中的旅者，隨時會如晝夜交替間的曇花般凋謝。,"A broken witch's tombstone from which only unstable elements can be drawn, like travelers in the abyss who may wither like ephemeral flowers between day and night.",砕けた魔女の墓石。不安定な元素しか引き出せず、深淵を旅する者のように、いつ昼夜の移ろいの中で咲く月下美人のように萎れてしまうかもしれない。,"每场战斗开始时,你获得2层元素",每场战斗开始时，你获得2层{buff_elements}。,"At combat start, gain 2 Stacks of {buff_elements}.",各戦闘開始時、{buff_elements}を2スタック獲得する。
11,,物品,,鬼骨面具,鬼骨面具,Ghost Bone Mask,鬼骨の仮面,血鬼用于制造血裔的面具，戴上它便能从血鬼一族的血脉中汲取力量，但也将连同诅咒一并继承。,血鬼用來製造血裔的面具，戴上它便能從血鬼一族的血脈中汲取力量，但也將連同詛咒一併繼承。,"A mask used by blood demons to create blood spawn. Wearing it allows drawing power from blood demon bloodlines, but also inherits their curses.",血鬼が血族を生み出すために用いる仮面。これを着ければ血鬼一族の血脈から力を引き出せるが、呪いも共に受け継ぐことになる。,战斗开始时获得锋锐*2，鬼化,战斗开始时获得2层{buff_keenedge}与{buff_oniblood}。,"At combat start, gain 2 Stacks of {buff_keenedge} and 1 Stack of {buff_oniblood}.",戦闘開始時、{buff_keenedge}を2スタックと{buff_oniblood}を1スタック獲得する。
*12,,物品,,毒苹果,毒蘋果,Poison Apple,毒リンゴ,本应只存在于童话故事中的物品，却被具现为一种雇佣兵们尤为喜爱的特殊的成瘾药物。,本應只存在於童話故事中的物品，卻被具現為一種僱傭兵們尤為喜愛的特殊的成癮藥物。,"An item that should only exist in fairy tales, yet manifested as a special addictive drug particularly favored by mercenaries.",おとぎ話にしか存在しないはずの品が、傭兵たちに特に好まれる特殊な依存性薬物として具現化したもの。,"战斗开始时获得鬼化,敏锐*3,受到当前生命值1/6的真实伤害","战斗开始时获得鬼化,敏锐*3,受到当前生命值1/6的真实伤害","At combat start, gain 1 Stack of {buff_oniblood} and 3 Stacks of {buff_fast}. Take True Damage equal to 1/6 of current HP.",戦闘開始時、{buff_oniblood}と{buff_fast}を3スタック獲得し、現在HPの1/6の貫通ダメージを受ける。
13,,契约,,血鬼保险条例,血鬼保險條例,Blood Demon Insurance,血鬼保険条例,就和每一个生活在工业时代的人一样，血鬼们也需要给自己设计一套保险，只不过相较于人类的补救措施，它们更倾向于将危险消灭在萌芽之中。,就和每個生活在工業時代的人一樣，血鬼們也需要為自己設計一套保險，只不過相較於人類的補救措施，它們更傾向於將危險消滅在萌芽之中。,"Like everyone living in the industrial age, blood demons need insurance too, though unlike human remedial measures, they prefer eliminating dangers in the bud.",産業時代に生きる全ての人々と同様、血鬼たちも自分たちのための保険を設計する必要があった。ただし、人間の救済措置とは異なり、彼らは危険を芽のうちに摘むことを好む。,"回合开始时,如果你生命低于50,获得鬼化","回合开始时,如果你生命低于50,获得鬼化","At turn start, if HP is below 50, gain 1 Stack of {buff_oniblood}.",ターン開始時、HPが50未満なら{buff_oniblood}を1スタック獲得する。
14,,生物,,穿刺群落,穿刺群落,Piercing Colony,穿刺コロニー,这些锐利的小生物们与滋养他们的环境一般充满恶意，接触到生物体的皮肤后会迅速膨胀刺出顶部，将目标击穿后放血，基于这种特性他们有时也会被视作一种特殊的子弹材料投入军事用途。,這些銳利的小生物們與滋養他們的環境一般充滿惡意，接觸到生物體的皮膚後會迅速膨脹刺出頂部，將目標擊穿後放血，基於這種特性他們有時也會被視作一種特殊的子彈材料投入軍事用途。,"These sharp little creatures are as malicious as the environment that nurtures them, rapidly expanding and piercing through targets upon skin contact, sometimes used as special ammunition.",これらの鋭い小生物は、彼らを育む環境と同様に悪意に満ちている。生物の皮膚に触れると急速に膨張して先端を突き出し、標的を貫いて放血させる。この特性から、特殊な弾丸の材料として軍事利用されることもある。,每次行动对3个随机敌人额外造成1点物理伤害,每次行动对3个随机敌人额外造成1点物理伤害,Each action deals 1 additional Physical Damage to 3 random enemies.,行動するたび、ランダムな敵3体に1の追加物理ダメージを与える
15,,概念,,恶念,惡念,Evil Intent,悪念,深渊物质中最基础的成分，也是深渊生物异化的根源。,深淵物質中最基礎的成分，也是深淵生物異化的根源。,The most basic component of abyssal matter and the source of abyssal creature mutation.,深淵物質の最も基本的な成分であり、深淵生物の異形の根源でもある。,每场战斗生命值第一次下降到40%最大生命值或以下时（战斗开始时也判定一次），获得40金币和1层鬼化.,每场战斗生命值第一次下降到40%最大生命值或以下时（战斗开始时也判定一次），获得40金币和1层鬼化.,"When your Health first drops to 40% or less of Max HP (also checked at combat start), gain 40 Gold and 1 Stack of {buff_oniblood}.",各戦闘でHPが初めて最大HPの40%以下になった時（戦闘開始時も判定）、40ゴールドと{buff_oniblood}を1スタック獲得する。
16,,物品,,雷鸣之羽,雷鳴之羽,Thunder Feather,雷鳴の羽,一种强大的雷元素生物身上掉落的羽毛，如果能交由中枢也许能分析出其来源。,一種強大的雷元素生物身上掉落的羽毛，如果能交由中樞也許能分析出其來源。,"A feather dropped by a powerful thunder elemental creature. If given to the Central Hub, its origin might be analyzed.",強力な雷元素生物から落ちた羽。中枢に渡せば、その由来を分析できるかもしれない。,行动时有50%几率对随机敌人目标造成8点真实伤害,行动时有50%几率对随机敌人目标造成8点真实伤害,"When acting, 50% chance to deal 8 True Damage to a random enemy.",行動時、50%の確率でランダムな敵1体に8の貫通ダメージを与える
17,,物品,,魔力源晶,魔力源晶,Magic Source Crystal,魔力源晶,部分魔女死亡时灵魂凝结而成，因此也被称为魔女的墓碑。借由逝者的力量，生者得以复现元素的奇迹。,部分魔女死亡時靈魂凝結而成，因此也被稱為魔女的墓碑。藉由逝者的力量，生者得以復現元素的奇蹟。,"Formed from souls condensed when some witches die, also called witch tombstones. Through the power of the deceased, the living can recreate elemental miracles.",一部の魔女が死ぬ時に魂が凝縮してできるもので、魔女の墓石とも呼ばれる。死者の力によって、生者は元素の奇跡を再現することができる。,"回合开始时,你获得4层元素,并获得1点魔能",回合开始时，你获得4层{buff_elements}并获得1点魔能。,"At turn start, gain 4 Stacks of {buff_elements} and 1 Mana.",ターン開始時、{buff_elements}を4スタック獲得し、マナを1獲得する。
18,,物品,,剑盾,劍盾,Sword Shield,剣盾,一种只有在超自然力量作用下才能存在的特殊武器，将剑刃直接安装在盾牌之上，是攻守兼备，还是攻守皆失？,只有在超自然力量作用下才能存在的特殊武器，將劍刃直接安裝在盾牌之上，是攻守兼備，還是攻守皆失？,"A special weapon that can only exist under supernatural forces, with blades directly mounted on shields. Is it both offensive and defensive, or neither?",超自然的な力の下でしか存在できない特殊な武器。刃を直接盾に取り付けている。攻守兼備か、それとも攻守ともに失うか？,"出牌额外造成1点伤害,获得1点护盾","出牌额外造成1点伤害,获得1点护盾",Cards deal 1 additional Damage and grant 1 Shield.,カードを使用する時、1の追加ダメージを与え、1のシールドを獲得する
*19,,物品,,《深渊求生守则》,《深淵求生守則》,Abyss Survival Guide,『深淵生存マニュアル』,流通于黑市的小薄本，其上记录了一系列的生存守则，是每一个妄图探知深渊的冒险者的必备工具。,流通於黑市的小薄本，其上記錄了一系列的生存守則，是每個妄圖探知深淵的冒險者的必備工具。,"A small booklet circulating in black markets, recording survival rules essential for every adventurer attempting to explore the abyss.",闇市場で流通している小冊子。一連の生存規則が記録されており、深淵を探ろうとする全ての冒険者にとって必携の道具である。,"回合开始时获得1点护盾；你每携带此遗物走过1层,该护盾+1","回合开始时获得1点护盾；你每携带此遗物走过1层,该护盾+1","At turn start, gain 1 Shield. For each floor passed while carrying this relic, this Shield +1.",ターン開始時、シールドを1獲得する。この遺物を持ってフロアを1つ進むたび、このシールドは+1される
20,,物品,,施虐者权杖,施虐者權杖,Torturer's Scepter,加虐者の杖,一种特制的法杖，通过魔法回廊与奴隶脖颈上的项圈相链接，以达到人身控制的目的，在如今的奥尔德林已被明令禁止。,一種特製的法杖，透過魔法迴廊與奴隸脖頸上的項圈相鏈接，以達到人身控制的目的，在如今的奧爾德林已被明令禁止。,"A specialized staff that links through magical corridors to collars on slaves' necks for bodily control, now explicitly banned in modern Aldrin.",特製の杖。魔法の回廊を通じて奴隷の首輪と繋がり、身体を支配する目的で使われる。現在のオルドリンでは明確に禁止されている。,行动时为随机敌人叠加1层无力,行动时为随机敌人叠加1层{buff_weak}。,"When acting, apply 1 Stack of {buff_weak} to a random enemy.",行動時、ランダムな敵1体に{buff_weak}を1スタック付与する。
*21,,契约,,染血硬币,染血硬幣,Bloodstained Coin,血塗れの硬貨,血鬼们互相识别种族信息的凭证，同时也是构建血鬼社会经济循环的基础硬件。,血鬼們互相辨識種族資訊的憑證，同時也是建構血鬼社會經濟循環的基礎硬體。,"Credentials for blood demons to identify racial information, also the basic hardware for constructing blood demon social economic cycles.",血鬼たちが互いの種族情報を識別するための証であり、血鬼社会の経済循環を構築する基礎的なハードウェアでもある。,"损失生命时,获得8枚金币","损失生命时,获得8枚金币","When losing Health, gain 8 Gold.",HPを失った時、8ゴールドを獲得する
22,,物品,,断剑,斷劍,Broken Sword,折れた剣,骑士断裂的佩剑，其剑身也早已经时光洗礼后锈蚀，或许血与火能令其重新绽放光辉。,騎士斷裂的佩劍，其劍身也早已經時光洗禮後鏽蝕，或許血與火能令其重新綻放光輝。,"A knight's broken sword, its blade long rusted by time's baptism. Perhaps blood and fire can make it shine again.",騎士の折れた佩剣。その刃はとうに時の洗礼を受けて錆びついている。血と炎が再び輝きを取り戻させるかもしれない。,回合开始时，获得4层锋锐，每次行动减少1点锋锐（锋锐为0时改为获得1层无力）。,回合开始时，获得4层锋锐，每次行动减少1点锋锐（锋锐为0时改为获得1层无力）。,"At turn start, gain 4 Stacks of {buff_keenedge}. Lose 1 Stack per action (at 0, gain 1 Stack of {buff_weak}).",ターン開始時、{buff_keenedge}を4スタック獲得。行動ごとに−1（0で{buff_weak}を1スタック獲得）。
*23,,闭锁时环,,逆转时针,逆轉時針,Reverse Clock,逆転の時計針,诸神的遗物，克洛诺斯表盘上的指针之一，由于破损已失去了其巅峰时期的伟力，曾可逆转时空的宝物如今只能短暂的倒转局部的时间。,諸神的遺物，克洛諾斯錶盤上的指針之一，由於破損已失去了其巔峰時期的偉力，曾可逆轉時空的寶物如今只能短暫的倒轉局部的時間。,"A relic of the gods, one of Chronos's dial hands. Due to damage, it has lost its peak power; once capable of reversing spacetime, now only briefly reverses local time.",神々の遺物、クロノスの文字盤の針の一つ。破損により全盛期の偉大な力を失い、かつて時空を逆転できた宝物も、今や局所的な時間を短時間巻き戻すことしかできない。,"死亡时复活,恢复10点生命；每场战斗最多生效1次","死亡时复活,恢复10点生命；每场战斗最多生效1次",Revive with 10 Health when dying. Triggers once per battle.,死亡時にHP10で復活する。各戦闘で最大1回まで発動
*24,,闭锁时环,,破损表盘,破損錶盤,Broken Dial,壊れた文字盤,诸神的遗物，克洛诺斯碎裂的表盘，失去了指针的引导，如今只剩下纯粹的能量以供使用者提取。,諸神的遺物，克洛諾斯碎裂的錶盤，失去了指針的引導，如今只剩下純粹的能量以供使用者提取。,"A relic of the gods, Chronos's shattered dial. Having lost its hands' guidance, only pure energy remains for users to extract.",神々の遺物、クロノスの砕けた文字盤。針の導きを失い、今や使用者が抽出できる純粋なエネルギーしか残っていない。,出牌时获得1点魔能,出牌时获得1点魔能,"When playing a card, gain 1 Mana.",カードを使用する時、マナを1獲得する
25,,契约,,血嗣契约,血嗣契約,Blood Heir Contract,血嗣の契約,过去是与血鬼主人签订的血嗣契约，以生命力和自由为代价换取敏锐的思维，现如今已被优化为一种普适科技，即使不依赖血主也能独立存在。,過去是與血鬼主人簽訂的血嗣契約，以生命力和自由為代價換取敏銳的思維，現已優化為一種普適科技，即使不依賴血主也能獨立存在。,"Once a contract signed with blood demon masters, trading vitality and freedom for keen thinking. Now optimized as universal technology, existing independently without blood masters.",かつて血鬼の主人と結んだ血嗣の契約。生命力と自由を代償に鋭敏な思考を得るものだったが、今では普遍的な技術に改良され、血の主人に頼らずとも独立して存在できる。,"战斗开始时最大生命值+1,额外抽2张牌","战斗开始时最大生命值+1,额外抽2张牌","At combat start, Max HP +1 and draw 2 additional cards.",戦闘開始時、最大HP+1、追加でカードを2枚引く
26,,物品,,嬗变因子,嬗變因子,Transformation Factor,変成因子,中庭科技延展出的一种植入型因子，将伤害转化为行动能力，对魔女的生存和战斗能力均有大幅提升，唯一缺陷是其高昂的造价。,中庭科技延展出的一種植入型因子，將傷害轉化為行動能力，對魔女的生存和戰鬥能力均有大幅提升，唯一缺陷是其高昂的造價,"An implantable factor extended from Midgard technology, converting damage to action capability, greatly enhancing witch survival and combat ability. Only flaw is its high cost.",ミッドガルドの技術から派生した埋め込み型の因子。ダメージを行動力に変換し、魔女の生存能力と戦闘能力を大幅に向上させる。唯一の欠点はその高額な製造コストだ。,"战斗开始时,获得1层不朽",战斗开始时，获得1层{buff_immortal}。,"At combat start, gain 1 Stack of {buff_immortal}.",戦闘開始時、{buff_immortal}を1スタック獲得する。
*27,,概念,,虚影,虛影,Phantom,虚像,深渊中的异常现象凝结成的概念，表现为事件的重复发生，是一种可以利用的环境武器。万物皆投射出自我否定的镜像。,深淵中的異常現象凝結成的概念，表現為事件的重複發生，是一種可以被利用的環境武器。萬物皆投射出自我否定的鏡像,"A concept condensed from abnormal phenomena in the abyss, manifesting as repeated events, an environmental weapon that can be utilized. All things project self-negating mirrors.",深淵の異常現象が凝縮してできた概念。事象の繰り返しとして現れ、利用可能な環境兵器の一種である。万物は自己否定の鏡像を投影する。,"回合开始时,第一张牌额外打出一次","回合开始时,第一张牌额外打出一次","At turn start, the first card you play is played one additional time.",ターン開始時、最初に使用するカードは追加でもう1回発動する。
28,,契约,,死契 科尼姆斯,死契 科尼姆斯,Death Contract Konims,死の契約 コニムス,科尼姆斯公司发行的死亡债券，给予那些挣扎在死亡边缘的人们以救赎，或绝望。,科尼姆斯公司發行的死亡債券，給予那些掙扎在死亡邊緣的人們以救贖，或絕望。,"Death bonds issued by Konims Company, offering redemption or despair to those struggling on death's edge.",コニムス社が発行する死亡債券。死の淵で苦しむ者たちに救済、あるいは絶望を与える。,"回合开始时,额外获得2点魔能并抽2张牌；在第4回合开始时死亡","回合开始时,额外获得2点魔能并抽2张牌；在第4回合开始时死亡","At turn start, gain 2 Mana and draw 2 cards. Die at the start of turn 4.",ターン開始時、マナを2獲得し、カードを2枚引く。4ターン目の開始時に死亡する。
29,,物品,,点金手,點金手,Midas Touch,ミダスの手,曾是炼金术士们梦寐以求的神物，然而在这深渊之中，金币只是将人拖入死亡的绞索。,曾是煉金術士們夢寐以求的神物，然而在這深淵之中，金幣只是將人拖入死亡的絞索。,"Once a divine artifact coveted by alchemists, yet in this abyss, gold coins are merely nooses dragging people to death.",かつて錬金術師たちが渇望した神物。しかしこの深淵では、金貨は人を死へと引きずり込む絞首縄に過ぎない。,行动时额外获得3枚金币，单场战斗中第100次触发时，额外获得600金币并脱离战斗。,行动时额外获得3枚金币，单场战斗中第100次触发时，额外获得600金币并脱离战斗。,"Whenever you act, gain 3 Gold. On the 100th trigger in a single battle, gain an additional 600 Gold and escape combat.",行動するたびに3ゴールドを獲得する。1回の戦闘で100回目に発動した時、さらに600ゴールドを獲得し、戦闘から離脱する。
30,,生物,,第六元素,第六元素,Sixth Element,第六元素,游离于基础元素之外的第六元素，不知为何具有了自己的意志。,遊離於基礎元素之外的第六元素，不知為何具有了自己的意志。,"The sixth element existing beyond basic elements, somehow possessing its own will.",基礎元素の外に存在する第六の元素。なぜか独自の意志を持っている。,每打出1张牌获得1层元素,每打出1张牌获得1层元素,"Whenever you play a card, gain 1 Stack of {buff_elements}.",カードを1枚使用するたび、{buff_elements}を1スタック獲得する。
31,,物品,,血色回响,血色迴響,Blood Echo,血色の残響,一枚闪烁着血光的红宝石戒指，内置了精巧的机械结构，通过内壁蜿蜒尖锐的倒刺，从佩戴者的血液中汲取养分。,一枚閃爍著血光的紅寶石戒指，內建了精巧的機械結構，透過內壁蜿蜒尖銳的倒刺，從佩戴者的血液中汲取養分。,"A ruby ring flickering with blood light, containing intricate mechanical structures that draw nourishment from the wearer's blood through winding sharp barbs on the inner wall.",血の光を放つルビーの指輪。精巧な機械構造が内蔵されており、内壁の曲がりくねった鋭い逆棘を通じて、着用者の血液から養分を吸収する。,战斗开始时受到当前生命30%的真实伤害;你的每张卡牌有40%概率再打出1次,战斗开始时受到当前生命30%的真实伤害;你的每张卡牌有40%概率再打出1次,"At combat start, take True Damage equal to 30% of your current HP. Each card you play has a 40% chance to be played again.",戦闘開始時、現在HPの30%の貫通ダメージを受ける。あなたの各カードは40%の確率で追加でもう1回発動する。
32,,物品,,烛芯,燭芯,Candle Wick,蝋燭の芯,在无垠黑夜中的一丝微光，指引我们抵达灵魂的彼岸。,在無垠黑夜中的一絲微光，指引我們抵達靈魂的彼岸。,"A glimmer of light in the endless dark night, guiding us to reach the other shore of the soul.",果てしない闇夜の中の一筋の微かな光。我々を魂の彼岸へと導く。,"战斗开始时获得1层启示,1层坚毅。",战斗开始时获得1层启示,Gain 1 Stack of {buff_epiphany} and 1 Stack of {buff_impregnable} at combat start.,戦闘開始時、{buff_epiphany}を1スタックと{buff_impregnable}を1スタック獲得する。
33,,概念,,希冀,希冀,Hope,希望,"早已逝去者未尽的执念，在星空中铭刻下""希冀""之名。有人欣赏其无畏的抗争，有人叹息其命定的毁灭。","早已逝去者未盡的執念，在星空中銘刻下""希冀""之名。有人欣賞其無畏的抗爭，有人嘆息其命定的毀滅。","The unfinished obsession of those long departed, inscribing the name ""Hope"" in the starry sky. Some admire its fearless struggle, others sigh at its destined destruction.",とうに失われた者たちの未練が、星空に「希望」の名を刻んだ。その恐れを知らぬ抗争を賞賛する者もいれば、その定められた破滅を嘆く者もいる。,"战斗开始时,获得2点魔能并抽2张牌。","战斗开始时,获得2点魔能和2点生命值战斗开始时,获得2点魔能并抽2张牌。","At combat start, gain 2 Mana and draw 2 cards.",戦闘開始時、マナを2獲得し、カードを2枚引く。
34,,概念,,静谧,靜謐,Silence,静寂,凝结为实体的静谧，远离了文明的喧嚣，只有在步入衰亡的深渊中才得以一见。,凝結為實體的靜謐，遠離了文明的喧囂，只有在步入衰亡的深淵中才得以一見。,"Silence condensed into physical form, away from civilization's clamor, only visible when stepping into the decaying abyss.",実体と化した静寂。文明の喧騒から離れ、衰亡へと向かう深淵でのみ目にすることができる。,每次受伤时获得7点护盾。,每次受伤时获得6点护盾,Gain 6 Shield whenever you take damage.,ダメージを受けるたび、シールドを6獲得する。
35,,契约,,超频协议,超頻協議,Overclocking Protocol,オーバークロックプロトコル,中庭提供的超频协议，用于强化魔女的行动能力，代价仅是微不足道的一点副作用。,中庭提供的超頻協議，用於強化魔女的行動能力，代價只是微不足道的一點副作用。,"An overclocking protocol provided by Midgard to enhance witch action capabilities, with only trivial side effects as the cost.",ミッドガルドが提供するオーバークロックプロトコル。魔女の行動能力を強化するためのもので、代償は取るに足らない副作用だけだ。,"你在魔能不足且试图打出卡牌时可以超频获得1个魔能,每次超频获得魔能受到2的（X+1）次方点真实伤害（X为本回合累计赊欠的魔能）","你在魔能不足且试图打出卡牌时可以超频获得1个魔能,每次超频获得魔能受到2的（X+1）次方点真实伤害（X为本回合累计赊欠的魔能）","When you lack Mana and attempt to play a card, you may Overclock to gain 1 Mana. Each Overclock deals 2^(X+1) True Damage to you (X = total Mana borrowed this turn).",マナが不足している状態でカードを使用しようとする時、オーバークロックしてマナを1獲得できる。オーバークロックするたび、2の(X+1)乗の貫通ダメージを受ける（Xはこのターンに借り越したマナの合計）。
36,,闭锁时环,,静滞秒针,靜滯秒針,Stasis Second Hand,静止の秒針,诸神的遗物，克洛诺斯表盘上的指针之一，由于破损已失去了其巅峰时期的伟力，曾可停滞时空的宝物如今只能短暂的暂停局部的时间。,諸神的遺物，克洛諾斯錶盤上的指針之一，由於破損已失去了其巔峰時期的偉力，曾可停滯時空的寶物如今只能短暫的暫停局部的時間。,"A relic of the gods, one of Chronos's dial hands. Due to damage, it has lost its peak power; once capable of stopping spacetime, now only briefly pauses local time.",神々の遺物、クロノスの文字盤の針の一つ。破損により全盛期の偉大な力を失い、かつて時空を停滞できた宝物も、今や局所的な時間を短時間停止させることしかできない。,"战斗开始时,随机给予1个敌人一层时停。","战斗开始时,随机给予1个敌人一层时停","At combat start, apply 1 Stack of {buff_timestop} to a random enemy.",戦闘開始時、ランダムな敵1体に{buff_timestop}を1スタック付与する。
37,,物品,,战车造像,戰車造像,Chariot Statue,戦車の像,镌刻了符文的神秘造像，握在手中彷如身披坚甲，一往无前。,鐫刻了符文的神秘造像，握在手中如身披堅甲，一往無前。,"A mysterious statue engraved with runes, holding it feels like wearing armor, advancing fearlessly.",ルーンが刻まれた神秘的な像。手に握ると、まるで堅固な鎧を身にまとい、恐れを知らず前進するかのようだ。,战斗开始时获得5层{buff_evergreen}。,战斗开始时获得5层{buff_evergreen}。,Gain 5 Stacks of {buff_evergreen} at combat start.,戦闘開始時、{buff_evergreen}を5スタック獲得する。
